query,answer
What is (are) Scabies ?,"Scabies is an itchy skin condition caused by the microscopic mite Sarcoptes scabei. It is common all over the world, and can affect anyone. Scabies spreads quickly in crowded conditions where there is frequent skin-to-skin contact between people. Hospitals, child-care centers, and nursing homes are examples. Scabies can easily infect sex partners and other household members. Sharing clothes, towels, and bedding can sometimes spread scabies. This can happen much more easily when the infested person has crusted scabies. You cannot get scabies from a pet. Pets get a different mite infection called mange.     Symptoms are       - Pimple-like irritations or a rash     - Intense itching, especially at night    - Sores caused by scratching        Your health care provider diagnoses scabies by looking at the skin rash and finding burrows in the skin.    Several lotions are available to treat scabies. The infected person's clothes, bedding and towels should be washed in hot water and dried in a hot dryer. Treatment is also recommended for household members and sexual partners.    Centers for Disease Control and Prevention"
What is (are) Genetic Brain Disorders ?,"A genetic brain disorder is caused by a variation or a mutation in a gene. A variation is a different form of a gene. A mutation is a change in a gene. Genetic brain disorders affect the development and function of the brain.    Some genetic brain disorders are due to random gene mutations or mutations caused by environmental exposure, such as cigarette smoke. Other disorders are inherited, which means that a mutated gene or group of genes is passed down through a family. They can also be due to a combination of both genetic changes and other outside factors.    Some examples of genetic brain disorders include       - Leukodystrophies    - Phenylketonuria    - Tay-Sachs disease    - Wilson disease       Many people with genetic brain disorders fail to produce enough of certain proteins that influence brain development and function. These brain disorders can cause serious problems that affect the nervous system. Some have treatments to control symptoms. Some are life-threatening."
What is (are) Frostbite ?,"Frostbite is an injury to the body that is caused by freezing. It most often affects the nose, ears, cheeks, chin, fingers, or toes. Frostbite can permanently damage the body, and severe cases can lead to amputation.    Signs of frostbite include       - A white or grayish-yellow skin area    - Skin that feels unusually firm or waxy    - Numbness       If you have symptoms of frostbite, seek medical care. But if immediate medical care isn't available, here are steps to take:       - Get into a warm room as soon as possible.    - Unless absolutely necessary, do not walk on frostbitten feet or toes. Walking increases the damage.    - Put the affected area in warm - not hot - water.    - You can also warm the affected area using body heat. For example, use your armpit to warm frostbitten fingers.     - Don't rub the frostbitten area with snow or massage it at all. This can cause more damage.     - Don't use a heating pad, heat lamp, or the heat of a stove, fireplace, or radiator for warming. Since frostbite makes an area numb, you could burn it.       Centers for Disease Control and Prevention"
What is (are) Rotavirus Infections ?,"Rotavirus is a virus that causes gastroenteritis. Symptoms include severe diarrhea, vomiting, fever, and dehydration. Almost all children in the U.S. are likely to be infected with rotavirus before their 5th birthday.    Infections happen most often in the winter and spring. It is very easy for children with the virus to spread it to other children and sometimes to adults. Once a child gets the virus, it takes about two days to become sick. Vomiting and diarrhea may last from three to eight days.    There is no medicine to treat it. To prevent dehydration, have your child drink plenty of liquids. Your health care provider may recommend oral rehydration drinks. Some children need to go to the hospital for IV fluids. Two vaccines against rotavirus infections are available.    Centers for Disease Control and Prevention"
What is (are) Chest Injuries and Disorders ?,"The chest is the part of the body between your neck and your abdomen. It includes the ribs and breastbone. Inside your chest are several organs, including the heart, lungs, and esophagus. The pleura, a large thin sheet of tissue, lines the inside of the chest cavity.    Chest injuries and disorders include       - Heart diseases    - Lung diseases and collapsed lung    - Pleural disorders    - Esophagus disorders    - Broken ribs    - Thoracic aortic aneurysms    - Disorders of the mediastinum, the space between the lungs, breastbone, and spine"
What is (are) Migraine ?,"If you suffer from migraine headaches, you're not alone. About 12 percent of the U.S. population gets them. Migraines are recurring attacks of moderate to severe pain. The pain is throbbing or pulsing, and is often on one side of the head. During migraines, people are very sensitive to light and sound. They may also become nauseated and vomit.     Migraine is three times more common in women than in men. Some people can tell when they are about to have a migraine because they see flashing lights or zigzag lines or they temporarily lose their vision.     Many things can trigger a migraine. These include        -  Anxiety    -  Stress    -  Lack of food or sleep     -  Exposure to light    -  Hormonal changes (in women)       Doctors used to believe migraines were linked to the opening and narrowing of blood vessels in the head. Now they believe the cause is related to genes that control the activity of some brain cells. Medicines can help prevent migraine attacks or help relieve symptoms of attacks when they happen. For many people, treatments to relieve stress can also help.    NIH: National Institute of Neurological Disorders and Stroke"
Do you have information about Kidney Transplantation,"A kidney transplant is an operation that places a healthy kidney in your body. The transplanted kidney takes over the work of the two kidneys that failed, so you no longer need dialysis.     During a transplant, the surgeon places the new kidney in your lower abdomen and connects the artery and vein of the new kidney to your artery and vein. Often, the new kidney will start making urine as soon as your blood starts flowing through it. But sometimes it takes a few weeks to start working.     Many transplanted kidneys come from donors who have died. Some come from a living family member. The wait for a new kidney can be long.    If you have a transplant, you must take drugs for the rest of your life, to keep your body from rejecting the new kidney.    NIH: National Institute of Diabetes and Digestive and Kidney Diseases"
Do you have information about Molds,"Molds are fungi that can be found both outdoors and indoors. They grow best in warm, damp and humid conditions. If you have damp or wet spots in your house, you will probably get mold.    Molds can cause health problems. Inhaling or touching mold or mold spores may cause allergic reactions or asthma attacks in sensitive people. Molds can cause fungal infections. In addition, mold exposure may irritate your eyes, skin, nose, throat, and lungs.     Centers for Disease Control and Prevention"
Do you have information about Artificial Limbs,"People can lose all or part of an arm or leg for a number of reasons. Common ones include       - Circulation problems from atherosclerosis or diabetes. They may cause you to need an amputation.    - Traumatic injuries, including from traffic accidents and military combat    - Cancer    - Birth defects       If you are missing an arm or leg, an artificial limb can sometimes replace it. The device, which is called a prosthesis, can help you to perform daily activities such as walking, eating, or dressing. Some artificial limbs let you function nearly as well as before."
Do you have information about Pacemakers and Implantable Defibrillators,"An arrhythmia is any disorder of your heart rate or rhythm. It means that your heart beats too quickly, too slowly, or with an irregular pattern. Most arrhythmias result from problems in the electrical system of the heart. If your arrhythmia is serious, you may need a cardiac pacemaker or an implantable cardioverter defibrillator (ICD). They are devices that are implanted in your chest or abdomen.    A pacemaker helps control abnormal heart rhythms. It uses electrical pulses to prompt the heart to beat at a normal rate. It can speed up a slow heart rhythm, control a fast heart rhythm, and coordinate the chambers of the heart.    An ICD monitors heart rhythms. If it senses dangerous rhythms, it delivers shocks. This treatment is called defibrillation. An ICD can help control life-threatening arrhythmias, especially those that can cause sudden cardiac arrest (SCA). Most new ICDs can act as both a pacemaker and a defibrillator. Many ICDs also record the heart's electrical patterns when there is an abnormal heartbeat. This can help the doctor plan future treatment.    Getting a pacemaker or ICD requires minor surgery. You usually need to stay in the hospital for a day or two, so your doctor can make sure that the device is working well. You will probably be back to your normal activities within a few days."
What is (are) Bipolar Disorder ?,"Bipolar disorder is a serious mental illness. People who have it go through unusual mood changes. They go from very happy, ""up,"" and active to very sad and hopeless, ""down,"" and inactive, and then back again. They often have normal moods in between. The up feeling is called mania. The down feeling is depression.    The causes of bipolar disorder aren't always clear. It runs in families. Abnormal brain structure and function may also play a role.    Bipolar disorder often starts in a person's late teen or early adult years. But children and adults can have bipolar disorder too. The illness usually lasts a lifetime.    If you think you may have it, tell your health care provider. A medical checkup can rule out other illnesses that might cause your mood changes.    If not treated, bipolar disorder can lead to damaged relationships, poor job or school performance, and even suicide. However, there are effective treatments to control symptoms: medicine and talk therapy. A combination usually works best.    NIH: National Institute of Mental Health"
What is (are) Premenstrual Syndrome ?,"Premenstrual syndrome, or PMS, is a group of symptoms that start one to two weeks before your period. Most women have at least some symptoms of PMS, and the symptoms go away after their periods start. For some women, the symptoms are severe enough to interfere with their lives. They have a type of PMS called premenstrual dysphoric disorder, or PMDD.    Common PMS symptoms include       - Breast swelling and tenderness     - Acne    - Bloating and weight gain    - Pain - headache or joint pain    - Food cravings     - Irritability, mood swings, crying spells, depression        No one knows what causes PMS, but hormonal changes trigger the symptoms. No single PMS treatment works for everyone. Over-the-counter pain relievers such as ibuprofen, aspirin or naproxen may help ease cramps, headaches, backaches and breast tenderness. Exercising, getting enough sleep, and avoiding salt, caffeine, and alcohol can also help.    Dept. of Health and Human Services Office on Women's Health"
What is (are) Herniated Disk ?,"Your backbone, or spine, is made up of 26 bones called vertebrae. In between them are soft disks filled with a jelly-like substance. These disks cushion the vertebrae and keep them in place. As you age, the disks break down or degenerate. As they do, they lose their cushioning ability. This can lead to pain if the back is stressed.    A herniated disk is a disk that ruptures. This allows the jelly-like center of the disk to leak, irritating the nearby nerves. This can cause sciatica or back pain.    Your doctor will diagnose a herniated disk with a physical exam and, sometimes, imaging tests. With treatment, most people recover. Treatments include rest, pain and anti-inflammatory medicines, physical therapy, and sometimes surgery.    NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases"
Do you have information about Healthy Aging,"People in the U.S. are living longer than ever before. Many seniors live active and healthy lives. But there's no getting around one thing: as we age, our bodies and minds change. There are things you can do to stay healthy and active as you age:       - Eat a balanced diet    - Keep your mind and body active    - Don't smoke    - Get regular checkups    - Practice safety habits to avoid accidents and prevent falls       NIH: National Institute on Aging"
What is (are) Tetanus ?,"Tetanus is a serious illness caused by Clostridium bacteria. The bacteria live in soil, saliva, dust, and manure. The bacteria can enter the body through a deep cut, like those you might get from stepping on a nail, or through a burn.    The infection causes painful tightening of the muscles, usually all over the body. It can lead to ""locking"" of the jaw. This makes it impossible to open your mouth or swallow. Tetanus is a medical emergency. You need to get treatment in a hospital.    A vaccine can prevent tetanus. It is given as a part of routine childhood immunization. Adults should get a tetanus shot, or booster, every 10 years. If you get a bad cut or burn, see your doctor - you may need a booster. Immediate and proper wound care can prevent tetanus infection."
What is (are) Eyelid Disorders ?,"Your eyelids help protect your eyes. When you blink, your eyelids spread moisture over your eyes. Blinking also helps move dirt or other particles off the surface of the eye. You close your eyelids when you see something coming towards your eyes. This can help protect against injuries.    Like most other parts of your body, your eyelids can get infected, inflamed, or even develop cancer. There are also specific eyelid problems, including       - Eyelids that turn in or out    - Eyelids that droop    - Abnormal blinking or twitching       Treatment of eyelid problems depends on the cause."
Do you have information about Veterans and Military Health,"Military service members and veterans face some different health issues than civilians. During combat, the main health concerns are life-threatening injuries. These include       - Shrapnel and gunshot wounds    - Lost limbs    - Head and brain injuries       There may also be a risk of health problems from exposure to environmental hazards, such as contaminated water, chemicals, and infections.     Being in combat and being separated from your family can be stressful. The stress can put service members and veterans at risk for mental health problems. These include anxiety, post-traumatic stress disorder, depression and substance abuse. Suicide can also be a concern."
What is (are) Scoliosis ?,"Scoliosis causes a sideways curve of your backbone, or spine. These curves are often S- or C-shaped. Scoliosis is most common in late childhood and the early teens, when children grow fast. Girls are more likely to have it than boys. It can run in families. Symptoms include leaning to one side and having uneven shoulders and hips.    Doctors use your medical and family history, a physical exam, and imaging tests to diagnose scoliosis. Treatment depends on your age, how much more you're likely to grow, how much curving there is, and whether the curve is temporary or permanent. People with mild scoliosis might only need checkups to see if the curve is getting worse. Others might need to wear a brace or have surgery.     NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases"
What is (are) Aneurysms ?,"An aneurysm is a bulge or ""ballooning"" in the wall of an artery. Arteries are blood vessels that carry oxygen-rich blood from the heart to other parts of the body. If an aneurysm grows large, it can burst and cause dangerous bleeding or even death.     Most aneurysms occur in the aorta, the main artery that runs from the heart through the chest and abdomen. Aneurysms also can happen in arteries in the brain, heart and other parts of the body. If an aneurysm in the brain bursts, it causes a stroke.    Aneurysms can develop and become large before causing any symptoms. Often doctors can stop aneurysms from bursting if they find and treat them early. They use imaging tests to find aneurysms. Often aneurysms are found by chance during tests done for other reasons. Medicines and surgery are the two main treatments for aneurysms.     NIH: National Heart, Lung, and Blood Institute"
What is (are) Chlamydia Infections ?,"Chlamydia is a common sexually transmitted disease caused by bacteria. You can get chlamydia during oral, vaginal, or anal sex with an infected partner. Both men and women can get it.    Chlamydia usually doesn't cause symptoms. If it does, you might notice a burning feeling when you urinate or abnormal discharge from your vagina or penis.    In both men and women, chlamydia can infect the urinary tract. In women, infection of the reproductive system can lead to pelvic inflammatory disease (PID). PID can cause infertility or serious problems with pregnancy. Babies born to infected mothers can get eye infections and pneumonia from chlamydia. In men, chlamydia can infect the epididymis, the tube that carries sperm. This can cause pain, fever, and, rarely, infertility.    A lab test can tell if you have chlamydia. Antibiotics will cure the infection. Correct usage of latex condoms greatly reduces, but does not eliminate, the risk of catching or spreading chlamydia. Experts recommend that sexually active women 25 and younger get a chlamydia test every year.    NIH: National Institute of Allergy and Infectious Diseases"
Do you have information about Farm Health and Safety,"You might think of farms as peaceful settings. Actually, farming is one of the most dangerous jobs in the United States. Farms have many health and safety hazards, including       - Chemicals and pesticides    - Machinery, tools and equipment that can be dangerous    - Hazardous areas, such as grain bins, silos and wells    - Livestock that can spread diseases or cause injuries       Farming injuries are very common. Physical labor and accidents can cause injuries.     Most farm accidents involve machinery. Proper machine inspection and maintenance can help prevent accidents. Using safety gloves, goggles and other protective equipment can also reduce accidents.     Occupational Safety and Health Administration"
Do you have information about Limb Loss,"People can lose all or part of an arm or leg for a number of reasons. Common ones include       - Problems with blood circulation. These may be the result of atherosclerosis or diabetes. Severe cases may result in amputation.    - Injuries, including from traffic accidents and military combat    - Cancer    - Birth defects       Some amputees have phantom pain, which is the feeling of pain in the missing limb. Other physical problems include surgical complications and skin problems, if you wear an artificial limb. Many amputees use an artificial limb. Learning how to use it takes time. Physical therapy can help you adapt.    Recovery from the loss of a limb can be hard. Sadness, anger, and frustration are common. If you are having a tough time, talk to your doctor. Treatment with medicine or counseling can help."
What is (are) Anemia ?,"If you have anemia, your blood does not carry enough oxygen to the rest of your body. The most common cause of anemia is not having enough iron. Your body needs iron to make hemoglobin. Hemoglobin is an iron-rich protein that gives the red color to blood. It carries oxygen from the lungs to the rest of the body.    Anemia has three main causes: blood loss, lack of red blood cell production, and high rates of red blood cell destruction.    Conditions that may lead to anemia include       - Heavy periods    - Pregnancy    - Ulcers    - Colon polyps or colon cancer    - Inherited disorders    - A diet that does not have enough iron, folic acid or vitamin B12    - Blood disorders such as sickle cell anemia and thalassemia, or cancer    - Aplastic anemia, a condition that can be inherited or acquired    - G6PD deficiency, a metabolic disorder       Anemia can make you feel tired, cold, dizzy, and irritable. You may be short of breath or have a headache.    Your doctor will diagnose anemia with a physical exam and blood tests. Treatment depends on the kind of anemia you have.    NIH: National Heart, Lung, and Blood Institute"
What is (are) Transient Ischemic Attack ?,"A transient ischemic attack (TIA) is a stroke that comes and goes quickly. It happens when the blood supply to part of the brain stops briefly. Symptoms of a TIA are like other stroke symptoms, but do not last as long. They happen suddenly, and include        - Numbness or weakness, especially on one side of the body    - Confusion or trouble speaking or understanding speech    - Trouble seeing in one or both eyes    - Loss of balance or coordination       Most symptoms of a TIA disappear within an hour, although they may last for up to 24 hours. Because you cannot tell if these symptoms are from a TIA or a stroke, you should get to the hospital quickly.     TIAs are often a warning sign for future strokes. Taking medicine, such as blood thinners, may reduce your risk of a stroke. Your doctor might also recommend surgery.     NIH: National Institute of Neurological Disorders and Stroke"
What is (are) Tick Bites ?,"If you spend time outdoors or have pets that go outdoors, you need to beware of ticks. Ticks are small bloodsucking parasites. Many species transmit diseases to animals and people. Some of the diseases you can get from a tick bite are Lyme disease, ehrlichiosis, Rocky Mountain spotted fever and tularemia.     Some ticks are so small that they can be difficult to see. Ticks may get on you if you walk through areas where they live, such as tall grass, leaf litter or shrubs.     Tick-borne diseases occur worldwide, including in your own backyard. To help protect yourself and your family, you should       -  Use a chemical repellent with DEET, permethrin or picaridin    -  Wear light-colored protective clothing     -  Tuck pant legs into socks     -  Avoid tick-infested areas     -  Check yourself, your children and your pets daily for ticks and carefully remove any ticks you find"
What is (are) Mild Cognitive Impairment ?,"Some forgetfulness can be a normal part of aging. However, some people have more memory problems than other people their age. This condition is called mild cognitive impairment, or MCI. People with MCI can take care of themselves and do their normal activities.    MCI memory problems may include       - Losing things often    - Forgetting to go to events and appointments    - Having more trouble coming up with words than other people of the same age       Memory problems can also have other causes, including certain medicines and diseases that affect the blood vessels that supply the brain. Some of the problems brought on by these conditions can be managed or reversed.    Your health care provider can do thinking, memory, and language tests to see if you have MCI. You may also need to see a specialist for more tests. Because MCI may be an early sign of Alzheimer's disease, it's really important to see your health care provider every 6 to 12 months.    At this time, there is no proven drug treatment for MCI. Your health care provider can check to see if you have any changes in your memory or thinking skills over time.    NIH: National Institute on Aging"
What is (are) Genital Herpes ?,"Genital herpes is a sexually transmitted disease (STD) caused by a herpes simplex virus (HSV). It can cause sores on your genital or rectal area, buttocks, and thighs. You can get it from having sex, even oral sex. The virus can spread even when sores are not present. Mothers can also infect their babies during childbirth.    Symptoms of herpes are called outbreaks. You usually get sores near the area where the virus has entered the body. They turn into blisters, become itchy and painful, and then heal. Sometimes people do not know they have herpes because they have no symptoms or very mild symptoms. The virus can be more serious in newborn babies or in people with weak immune systems.    Most people have outbreaks several times a year. Over time, you get them less often and the symptoms become milder. The virus stays in your body for life.    Medicines do not cure genital herpes, but they can help your body fight the virus. This can help lessen symptoms, decrease outbreaks, and lower the risk of passing the virus to others. Correct usage of latex condoms can reduce, but not eliminate, the risk of catching or spreading herpes.    NIH: National Institute of Allergy and Infectious Diseases"
What is (are) Cholera ?,"Cholera is a bacterial infection that causes diarrhea. The cholera bacterium is usually found in water or food contaminated by feces (poop). Cholera is rare in the US. You may get it if you travel to parts of the world with inadequate water treatment and poor sanitation, and lack of sewage treatment. Outbreaks can also happen after disasters. The disease is not likely to spread directly from one person to another.      Often the infection is mild or without symptoms, but sometimes it can be severe. Severe symptoms include profuse watery diarrhea, vomiting, and leg cramps. In severe cases, rapid loss of body fluids leads to dehydration and shock. Without treatment, death can occur within hours.      Doctors diagnose cholera with a stool sample or rectal swab. Treatment includes replacing fluid and salts and sometimes antibiotics.      Anyone who thinks they may have cholera should seek medical attention immediately. Dehydration can be rapid so fluid replacement is essential.     Centers for Disease Control and Prevention"
What is (are) Addison Disease ?,"Your adrenal glands are just above your kidneys. The outside layer of these glands makes hormones that help your body respond to stress and regulate your blood pressure and water and salt balance. Addison disease happens if the adrenal glands don't make enough of these hormones.    A problem with your immune system usually causes Addison disease. The immune system mistakenly attacks your own tissues, damaging your adrenal glands. Other causes include infections and cancer.    Symptoms include       - Weight loss     - Muscle weakness     - Fatigue that gets worse over time     - Low blood pressure     - Patchy or dark skin        Lab tests can confirm that you have Addison disease. If you don't treat it, it can be fatal. You will need to take hormone pills for the rest of your life. If you have Addison disease, you should carry an emergency ID. It should say that you have the disease, list your medicines and say how much you need in an emergency.    NIH: National Institute of Diabetes and Digestive and Kidney Diseases"
What is (are) Kawasaki Disease ?,"Kawasaki disease is a rare childhood disease. It makes the walls of the blood vessels in the body become inflamed. It can affect any type of blood vessel, including the arteries, veins, and capillaries.    No one knows what causes Kawasaki disease. Symptoms include       -  High fever that lasts longer than 5 days    - Swollen lymph nodes in the neck    - A rash on the mid-section and genital area    - Red, dry, cracked lips and a red, swollen tongue    - Red, swollen palms of the hands and soles of the feet    - Redness of the eyes        Kawasaki disease can't be passed from one child to another. There is no single test. To diagnose it, doctors look at the signs and symptoms. They may also use an echocardiogram or other tests. It is mainly treated with medicines. Rarely, medical procedures and surgery also may be used for children whose coronary arteries are affected.     Kawasaki disease can't be prevented. However, most children who develop the disease fully recover - usually within weeks of getting signs and symptoms. Further problems are rare.    NIH: National Heart, Lung, and Blood Institute"
Do you have information about HIV/AIDS Medicines,"In the early 1980s, when the HIV/AIDS epidemic began, patients rarely lived longer than a few years. But today, there are many effective medicines to fight the infection, and people with HIV have longer, healthier lives.    There are five major types of medicines:       - Reverse transcriptase (RT) inhibitors - interfere with a critical step during the HIV life cycle and keep the virus from making copies of itself    - Protease inhibitors - interfere with a protein that HIV uses to make infectious viral particles    - Fusion inhibitors - block the virus from entering the body's cells    - Integrase inhibitors - block an enzyme HIV needs to make copies of itself    - Multidrug combinations - combine two or more different types of drugs into one       These medicines help people with HIV, but they are not perfect. They do not cure HIV/AIDS. People with HIV infection still have the virus in their bodies. They can still spread HIV to others through unprotected sex and needle sharing, even when they are taking their medicines.    NIH: National Institute of Allergy and Infectious Diseases"
What is (are) Fragile X Syndrome ?,"Fragile X syndrome is the most common form of inherited developmental disability. A problem with a specific gene causes the disease. Normally, the gene makes a protein you need for brain development. But the problem causes a person to make little or none of the protein. This causes the symptoms of Fragile X.     People with only a small change in the gene might not show any signs of Fragile X. People with bigger changes can have severe symptoms. These might include       - Intelligence problems, ranging from learning disabilities to severe intellectual disabilities    - Social and emotional problems, such as aggression in boys or shyness in girls    - Speech and language problems, especially in boys       A genetic blood test can diagnose Fragile X. There is no cure. You can treat some symptoms with educational, behavioral, or physical therapy, and with medicines. Getting treatment early can help.    NIH: National Institute of Child Health and Human Development"
Do you have information about Carbohydrates,"Carbohydrates are one of the main types of nutrients. They are the most important source of energy for your body. Your digestive system changes carbohydrates into glucose (blood sugar). Your body uses this sugar for energy for your cells, tissues and organs. It stores any extra sugar in your liver and muscles for when it is needed.    Carbohydrates are called simple or complex, depending on their chemical structure. Simple carbohydrates include sugars found naturally in foods such as fruits, vegetables, milk, and milk products. They also include sugars added during food processing and refining. Complex carbohydrates include whole grain breads and cereals, starchy vegetables and legumes. Many of the complex carbohydrates are good sources of fiber.    For a healthy diet, limit the amount of added sugar that you eat and choose whole grains over refined grains."
What is (are) Thoracic Outlet Syndrome ?,"Thoracic outlet syndrome (TOS) causes pain in the shoulder, arm, and neck. It happens when the nerves or blood vessels just below your neck are compressed, or squeezed. The compression can happen between the muscles of your neck and shoulder or between the first rib and collarbone. You may feel burning, tingling, and numbness along your arm, hand, and fingers. If a nerve is compressed, you may also feel weakness in your hand. If a vein is compressed, your hand might be sensitive to cold, or turn pale or bluish. Your arm might swell and tire easily.    TOS is more common in women. It usually starts between 20 and 50 years of age. Doctors do nerve and imaging studies to diagnose it.    There are many causes of TOS, including       - Injury    - Anatomical defects    - Tumors that press on nerves    - Poor posture that causes nerve compression    - Pregnancy    - Repetitive arm and shoulder movements and activity, such as from playing certain sports       Treatment depends on what caused your TOS. Medicines, physical therapy, and relaxation might help. Surgery may also be an option. Most people recover.    NIH: National Institute of Neurological Disorders and Stroke"
What is (are) Heat Illness ?,"Your body normally cools itself by sweating. During hot weather, especially with high humidity, sweating just isn't enough. Your body temperature can rise to dangerous levels and you can develop a heat illness. Most heat illnesses occur from staying out in the heat too long. Exercising too much for your age and physical condition are also factors. Older adults, young children and those who are sick or overweight are most at risk. Drinking fluids to prevent dehydration, replenishing salt and minerals, and limiting time in the heat can help.    Heat-related illnesses include       -  Heatstroke - a life-threatening illness in which body temperature may rise above 106 F in minutes; symptoms include dry skin, rapid, strong pulse and dizziness     -  Heat exhaustion - an illness that can precede heatstroke; symptoms include heavy sweating, rapid breathing and a fast, weak pulse     -  Heat cramps - muscle pains or spasms that happen during heavy exercise     -  Heat rash - skin irritation from excessive sweating        Centers for Disease Control and Prevention"
What is (are) Ehlers-Danlos Syndrome ?,"Ehlers-Danlos syndrome (EDS) is a group of inherited disorders that weaken connective tissues. Connective tissues are proteins that support skin, bones, blood vessels, and other organs.     EDS usually affects your skin, joints and blood vessel walls. Symptoms include       -  Loose joints     -  Fragile, small blood vessels     -  Abnormal scar formation and wound healing     -  Soft, velvety, stretchy skin that bruises easily        There are several types of EDS. They can range from mild to life-threatening. About 1 in 5,000 people has EDS. There is no cure. Treatment involves managing symptoms, often with medicines and physical therapy. It also includes learning how to protect your joints and prevent injuries."
What is (are) Gallstones ?,"Your gallbladder is a pear-shaped organ under your liver. It stores bile, a fluid made by your liver to digest fat. As your stomach and intestines digest food, your gallbladder releases bile through a tube called the common bile duct. The duct connects your gallbladder and liver to your small intestine.    Your gallbladder is most likely to give you trouble if something blocks the flow of bile through the bile ducts. That is usually a gallstone. Gallstones form when substances in bile harden. Gallstone attacks usually happen after you eat. Signs of a gallstone attack may include nausea, vomiting, or pain in the abdomen, back, or just under the right arm.    Gallstones are most common among older adults, women, overweight people, Native Americans and Mexican Americans.    Gallstones are often found during imaging tests for other health conditions. If you do not have symptoms, you usually do not need treatment. The most common treatment is removal of the gallbladder. Fortunately, you can live without a gallbladder. Bile has other ways to reach your small intestine.    NIH: National Institute of Diabetes and Digestive and Kidney Diseases"
Do you have information about Native Hawaiian and Pacific Islander Health,"Every racial or ethnic group has specific health concerns. Differences in the health of groups can result from:       - Genetics    - Environmental factors    - Access to care    - Cultural factors       On this page, you'll find links to health issues that affect Native Hawaiians and Pacific Islanders."
What is (are) Esophagus Disorders ?,"The esophagus is the tube that carries food, liquids and saliva from your mouth to the stomach. You may not be aware of your esophagus until you swallow something too large, too hot or too cold. You may also become aware of it when something is wrong.     The most common problem with the esophagus is gastroesophageal reflux disease (GERD). It happens when a band of muscle at the end of your esophagus does not close properly. This allows stomach contents to leak back, or reflux, into the esophagus and irritate it. Over time, GERD can cause damage to the esophagus. Other problems include heartburn and cancer.    Treatment depends on the problem. Some get better with over-the-counter medicines or changes in diet. Others may need prescription medicines or surgery."
Do you have information about Toddler Development,"Mastering new skills such as how to walk, talk, and use the potty are developmental milestones. It is exciting to watch your toddler learn new skills. The normal development of children aged 1-3 can be broken down into the following areas:       - Gross motor - walking, running, climbing    - Fine motor - feeding themselves, drawing    - Sensory - seeing, hearing, tasting, touching, and smelling    - Language - saying single words, then sentences    - Social - playing with others, taking turns, doing fantasy play       Toddlers do not develop at the same rate. There is a wide range of what is considered ""normal."" Your child may be ahead in some areas and slightly behind in others. If you are worried about possible delays, talk to your child's health care provider."
What is (are) Sleep Apnea ?,"Sleep apnea is a common disorder that causes your breathing to stop or get very shallow. Breathing pauses can last from a few seconds to minutes. They may occur 30 times or more an hour.    The most common type is obstructive sleep apnea. It causes your airway to collapse or become blocked during sleep. Normal breathing starts again with a snort or choking sound. People with sleep apnea often snore loudly. However, not everyone who snores has sleep apnea.    You are more at risk for sleep apnea if you are overweight, male, or have a family history or small airways. Children with enlarged tonsils may also get it.    Doctors diagnose sleep apnea based on medical and family histories, a physical exam, and sleep study results.    When your sleep is interrupted throughout the night, you can be drowsy during the day. People with sleep apnea are at higher risk for car crashes, work-related accidents, and other medical problems. If you have it, it is important to get treatment. Lifestyle changes, mouthpieces, surgery, and breathing devices can treat sleep apnea in many people.    NIH: National Heart, Lung, and Blood Institute"
Do you have information about School Health,"Your child spends more time at school than anywhere else except home. Schools can have a major effect on children's health. Schools can teach children about health, and promote healthy behaviors. Physical education classes give children a chance to get exercise.    Schools work to       - Prevent risky behaviors such as alcohol and tobacco use, or bullying    - Encourage healthy habits like exercise and healthy eating    - Deal with specific health problems in students, such as asthma, obesity and infectious diseases       The school building and environment should be a safe and healthy place for your child."
What is (are) Managed Care ?,"Managed care plans are a type of health insurance. They have contracts with health care providers and medical facilities to provide care for members at reduced costs. These providers make up the plan's network. How much of your care the plan will pay for depends on the network's rules.    Plans that restrict your choices usually cost you less. If you want a flexible plan, it will probably cost more. There are three types of managed care plans:       - Health Maintenance Organizations (HMO) usually only pay for care within the network. You choose a primary care doctor who coordinates most of your care.    - Preferred Provider Organizations (PPO) usually pay more if you get care within the network. They still pay part of the cost if you go outside the network.    - Point of Service (POS) plans let you choose between an HMO or a PPO each time you need care."
Do you have information about Underage Drinking,"Alcohol is the most widely abused substance among America's youth. Drinking by young people has big health and safety risks. It is dangerous because it       - Causes many deaths and injuries    - Can lead to poor decisions about engaging in risky behavior, such as drinking and driving or unprotected sex    - Increases the risk of physical and sexual assault    - Can lead to other problems, such as trouble in school    - May interfere with brain development    - Increases the risk of alcohol problems later in life       Kids often begin drinking to look ""cool"" or fit in with their peers. Parents can help their kids avoid alcohol problems. Open communication and conversations about drinking are important. So is being involved in your child's life. Get help for your child if you suspect a drinking problem.    NIH: National Institute on Alcohol Abuse and Alcoholism"
